unit,airpol,airemsect,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 
MIO_T,GHG,CRF_1-6X1D,NL	202.04355 	202.44358 	206.08359 	219.71498 	208.54204 	213.55178 	214.13974 	215.39979 	219.37771 	225.44661 	224.81325 	224.63005 	225.87453 	225.16263 	225.87518 	239.71739 	238.95789 	245.5785 	236.93995 	234.56928 	234.42323 	229.1333 	230.15308 	225.14828 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,PL	357.30453 	364.30667 	370.11209 	379.9241 	358.10534 	374.70921 	381.59096 	352.69854 	353.91431 	353.00316 	360.43208 	348.16341 	367.61922 	361.85667 	358.19957 	376.64206 	415.69076 	425.41824 	429.94265 	439.3636 	444.90711 	452.63012 	443.52387 	447.88419 	540.00698 	566.45417 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,PT	55.68189 	56.80104 	55.25525 	58.94763 	61.05544 	63.92506 	67.62768 	73.72064 	88.24581 	77.3063 	84.08469 	78.71282 	74.07886 	77.62185 	76.62192 	69.68891 	62.37283 	60.28571 	66.59741 	61.62034 	61.16646 	63.65141 	64.09263 	62.20846 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,RO	85.98986 	96.35843 	98.03277 	93.52793 	100.12454 	117.90864 	123.19833 	123.66575 	122.33558 	126.49135 	127.13431 	121.63275 	118.63447 	115.30452 	109.6279 	127.25795 	149.09225 	161.3816 	158.08914 	150.6505 	155.23902 	165.21226 	183.55784 	232.83719 	281.70291 	-7.73839 	-8.27268 	-8.03123 	-7.94446 
MIO_T,GHG,CRF_1-6X1D,SE	14.22271 	14.29528 	21.94027 	21.17447 	14.53669 	18.12099 	19.34225 	26.05769 	28.54327 	29.09156 	28.63937 	25.59917 	24.21776 	26.55008 	29.08657 	29.48654 	31.37957 	33.83301 	36.57475 	35.82006 	37.98769 	34.01899 	31.90584 	30.93259 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,SI	13.41998 	14.14349 	14.68907 	14.60628 	14.50977 	16.42149 	15.24733 	13.52114 	13.30748 	13.01224 	12.83172 	13.04958 	12.93937 	13.33854 	13.13031 	13.74401 	14.06407 	13.584 	15.63664 	14.89384 	14.53963 	14.31944 	14.17708 	15.37419 	15.84626 	15.87913 	16.12284 	16.65448 	: 
MIO_T,GHG,CRF_1-6X1D,SK	35.77788 	36.3904 	40.37738 	41.513 	39.49873 	43.84952 	42.79462 	44.20668 	46.77782 	43.19679 	42.45133 	41.82157 	44.22384 	41.21929 	42.95244 	44.15894 	46.37989 	46.36888 	46.01073 	44.0798 	45.75327 	49.65626 	56.01763 	66.49502 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,UK	566.81982 	580.58754 	564.66545 	611.70752 	596.94179 	655.43158 	675.44237 	688.45941 	695.01131 	704.36758 	709.34149 	702.46696 	723.72034 	720.9415 	720.83667 	751.5455 	754.88261 	779.95467 	758.73935 	764.36703 	775.31732 	795.4286 	816.61341 	807.68531 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D1B-1D3_4,AT	81.59547 	81.88754 	84.77388 	86.85902 	81.94562 	88.96148 	89.13164 	91.78353 	94.47586 	93.26622 	93.36731 	87.47819 	85.77586 	81.8371 	81.30493 	83.01092 	83.66597 	84.12922 	80.79829 	77.32972 	76.85631 	76.71113 	83.40007 	79.5788 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D1B-1D3_4,BE	123.43251 	123.3097 	127.38414 	137.51357 	129.98787 	143.29355 	140.6709 	144.9449 	148.59316 	152.95081 	151.66683 	150.97873 	152.13603 	154.04972 	152.83958 	158.63324 	152.91326 	161.36663 	157.18689 	154.91584 	149.38954 	150.30876 	151.40584 	150.24734 	: 	: 	: 	: 	: 
